Implementation,Operations,Threads,Time(Î¼s)
gemini,1000,2,121489
gemini,1000,4,120390
gemini,1000,8,120857
gemini,1000,16,120902
gemini,10000,2,581851
gemini,10000,4,649128
gemini,10000,8,648172
gemini,10000,16,651439
gemini,100000,2,670092
gemini,100000,4,680173
gemini,100000,8,672218
gemini,100000,16,601650
gemini,1000000,2,2604090
gemini,1000000,4,2644680
gemini,1000000,8,2678171
gemini,1000000,16,2677406
gemini,10000000,2,4221517
gemini,10000000,4,4519485
gemini,10000000,8,4733102
gemini,10000000,16,4816982
